hex,auc_all,auc_strict,city
881ec91857fffff,1.7790739915807074,4.6624915374072575,istanbul
881ec91853fffff,2.452504253480384,9.616307382495874,istanbul
881ec911a3fffff,10.932148674193845,9.108148984751288,istanbul
881ec9ce85fffff,18.208095678998568,17.68401072314715,istanbul
881ec9ce8dfffff,5.448128481499548,7.364088606399971,istanbul
881ec9cee3fffff,5.185080786997722,4.2575513467603985,istanbul
881ec9c539fffff,10.820808167104495,9.552966740074876,istanbul
881ec9c53dfffff,1.5943385897418183,3.6135260099134667,istanbul
881ec9c535fffff,2.7270097861683738,2.8935196649817088,istanbul
881ec9cecbfffff,10.84676481115163,1.3212273909184218,istanbul
881ec91abbfffff,1.3814358754435574,3.133248981849333,istanbul
881ec91acbfffff,12.831412552990567,13.997004102591042,istanbul
881ec91135fffff,5.240971117720113,6.861716454205649,istanbul
881ec91acdfffff,11.24156934132655,12.677347476798015,istanbul
881ec91a53fffff,8.011716419540186,5.783658043999503,istanbul
881ec91a5bfffff,9.381662140611647,9.25829402809272,istanbul
881ec91105fffff,7.3116945991347615,8.617770278059572,istanbul
881ec91129fffff,6.896810102129025,9.856594551568893,istanbul
881ec91101fffff,9.311607431892849,9.130023521221101,istanbul
881ec9110dfffff,16.598661406965718,19.11050743697882,istanbul
881ec9112bfffff,15.66645250812461,14.252680665820186,istanbul
881ec91121fffff,5.912872141240372,9.250422795603988,istanbul
881ec91a0dfffff,5.044558629530625,1.0734360774253284,istanbul
881ec91a47fffff,3.0667279700200436,0.0,istanbul
881ec91a01fffff,7.281535620740662,9.066202971124737,istanbul
881ec91b69fffff,7.595420149128145,2.459054052010251,istanbul
881ec91b6bfffff,1.6116985266651778,4.147600550091817,istanbul
881ec91b61fffff,7.4934143642064885,6.0831028228507495,istanbul
881ec9cebbfffff,6.848028085560127,10.912642677360823,istanbul
881ec9ceb3fffff,4.542791721230565,6.008054907370057,istanbul
881ec9ce97fffff,7.055088378285657,6.8824463759280325,istanbul
881ec91b6dfffff,9.427263156731986,9.703628462841516,istanbul
881ec91ae7fffff,9.652918633801228,8.952935925141354,istanbul
881ec9cec7fffff,8.433431783119477,15.254503253719061,istanbul
881ec9116dfffff,9.20250052946295,9.273997529922207,istanbul
881ec91161fffff,4.556620874526914,6.094852885563596,istanbul
881ec91a97fffff,11.915211023348569,13.599875845214795,istanbul
881ec91123fffff,7.433696282393212,7.642588460861557,istanbul
881ec91a13fffff,10.116324290447356,12.114260278679874,istanbul
881ec91a85fffff,5.972960040843837,4.750204024005967,istanbul
881ec91ae3fffff,4.5194648970544025,1.4083870952145123,istanbul
881ec91125fffff,5.586826321412636,15.252396690115395,istanbul
881ec91127fffff,10.76470513721046,7.870010563141083,istanbul
881ec9ccd3fffff,0.0,0.0,istanbul
881ec9ccdbfffff,0.0,0.0,istanbul
881ec91b65fffff,4.341624589848533,7.618535614183887,istanbul
881ec91b67fffff,7.2550103310284495,5.416540842882027,istanbul
881ec9ccd9fffff,6.977128066583829,4.362305038361606,istanbul
881ec9ce01fffff,1.4782343058565477,1.8603821135028977,istanbul
881ec91165fffff,8.463228187804182,9.487518921607402,istanbul
881ec9112dfffff,8.146285943528284,12.208870692773178,istanbul
881ec9113dfffff,11.747402580906982,10.6349332641815,istanbul
881ec91107fffff,12.592958198843402,16.912613721409304,istanbul
881ec91103fffff,10.555070503459083,16.539441996403934,istanbul
881ec91109fffff,10.13033791300544,10.96359738829074,istanbul
881ec91139fffff,7.219664682526196,9.380097223728297,istanbul
881ec9116bfffff,6.6687940406715205,3.6867383226308186,istanbul
881ec9110bfffff,11.268799360602202,13.17474638876444,istanbul
881ec9111dfffff,6.937492883174655,6.525103367026133,istanbul
881ec91ac9fffff,8.008091550485847,8.604988522896141,istanbul
881ec91119fffff,11.881699318183703,8.848794904022142,istanbul
881ec91157fffff,12.751139811669454,6.214551345105336,istanbul
881ec91111fffff,14.079814890590331,15.411739189359759,istanbul
881ec91115fffff,12.902565076427592,13.22987040239536,istanbul
881ec91117fffff,8.767494196929793,12.739762390745053,istanbul
881ec911edfffff,11.836373917141655,13.853153521881183,istanbul
881ec9113bfffff,12.899386969364503,13.174681843838481,istanbul
881ec91131fffff,16.958878074588473,14.767200994351283,istanbul
881ec91137fffff,8.107517913080565,8.107517913080565,istanbul
881ec91a1bfffff,3.7786896552389924,7.780951716047189,istanbul
881ec91a11fffff,4.333573277017578,3.762438937857555,istanbul
881ec91ae1fffff,6.091836796522282,0.6194819869084636,istanbul
881ec91a89fffff,9.887041602509058,8.766829260702579,istanbul
881ec91a8dfffff,8.128907035141477,2.490345343518708,istanbul
881ec91ac7fffff,19.55456896706913,21.06946162828007,istanbul
881ec91aebfffff,6.093242209051522,6.607170550988496,istanbul
881ec91ae9fffff,1.1892148302993188,1.011820582148771,istanbul
881ec91ac5fffff,10.135252761537993,9.65391960696414,istanbul
881ec91ad3fffff,10.74294405501098,11.414491488445067,istanbul
881ec91ad5fffff,13.489807097374955,15.530083497493417,istanbul
