city,hex,auc_flood
phoenix,8829b6d1d7fffff,0.0
phoenix,8829b6c263fffff,0.0
phoenix,8829b6c267fffff,0.0
phoenix,8848e96931fffff,0.0
phoenix,8848e96933fffff,4.172325134277344e-07
phoenix,8829b6d023fffff,0.0
phoenix,8829b6c141fffff,0.0
phoenix,8848e969a3fffff,4.081276762820583
phoenix,8829b6c231fffff,0.0
phoenix,8829b6d1d9fffff,0.0
phoenix,8829b6d143fffff,2.518220981450627e-07
phoenix,8829b6d0b9fffff,0.0
phoenix,8829b6d087fffff,0.0
phoenix,8848e96b27fffff,0.0
phoenix,8829b6d345fffff,0.0
phoenix,8829b6d34dfffff,0.0
phoenix,8829b6c23dfffff,0.0
phoenix,8829b6c235fffff,0.0
phoenix,8829b6d0edfffff,0.0
phoenix,8829b6d017fffff,0.0
phoenix,8848eba65dfffff,0.0
phoenix,8829b6d0e5fffff,0.0
phoenix,8829b6d027fffff,0.0
phoenix,8829b6d057fffff,0.0
phoenix,8829b6da5bfffff,0.0
phoenix,8848eba689fffff,0.0
phoenix,8829b6c245fffff,0.0
phoenix,8829b6c20dfffff,0.0
phoenix,8829b6d039fffff,0.0
phoenix,8829b6d015fffff,0.0
phoenix,8829b6c227fffff,2.950279395762582e-07
phoenix,8848e96db1fffff,0.0
phoenix,8829b6c013fffff,1.475139697881291e-07
phoenix,8829b6d1e5fffff,0.0
phoenix,8829b6d02bfffff,0.0
phoenix,8829b6d0e1fffff,0.0
phoenix,8829b6d31dfffff,0.0
phoenix,8829b6d893fffff,0.0
phoenix,8829b6d05bfffff,0.0
phoenix,8829b6d813fffff,0.0
phoenix,8848e969adfffff,1.475139697881291e-07
phoenix,8848e969a5fffff,2.063560968169552
phoenix,8829b6da47fffff,0.0
phoenix,8829b6da41fffff,2.950279395762582e-07
phoenix,8848ebb495fffff,0.0
phoenix,8848eba4e5fffff,0.0
phoenix,8848eba4e1fffff,0.0
phoenix,8829b6c315fffff,0.0
phoenix,8829b6c339fffff,0.0
phoenix,8829b6c10bfffff,0.0
phoenix,8829b6c329fffff,0.0
phoenix,8829b6c32dfffff,0.0
phoenix,8829b6d8abfffff,0.0
phoenix,8829b6d2a9fffff,2.086162567138672e-07
phoenix,8829b6d8ddfffff,0.0
phoenix,8829b6d0a9fffff,0.0
phoenix,8829b6c335fffff,0.0
phoenix,8829b6d0e3fffff,0.0
phoenix,8829b6dab9fffff,2.950279395762582e-07
phoenix,8829b6c205fffff,0.0
phoenix,8829b6c207fffff,0.0
phoenix,8829b6d021fffff,0.0
phoenix,8829b6d645fffff,0.0
phoenix,8829b6c147fffff,0.0
phoenix,8829b6d29dfffff,0.0
phoenix,8829b6c313fffff,0.0
phoenix,8829b6c317fffff,0.0
phoenix,8829b6d2d7fffff,0.0
phoenix,8829b6d061fffff,0.0
phoenix,8848e96937fffff,0.0
phoenix,8829b6d04bfffff,0.0
phoenix,8848e96db5fffff,0.0
phoenix,8829b6c2c5fffff,1.043081283569336e-07
phoenix,8829b6d05dfffff,0.0
phoenix,8829b6d153fffff,0.0
phoenix,8829b6d025fffff,0.0
phoenix,8829b6c143fffff,8.344650268554688e-07
phoenix,8829b6d01dfffff,0.0
phoenix,8829b6d8d5fffff,4.172325134277344e-07
phoenix,8848e9693bfffff,0.0
phoenix,8829b6d891fffff,0.0
phoenix,8829b6d8a3fffff,0.0
phoenix,8829b6c149fffff,0.0
phoenix,8829b6c14dfffff,0.0
phoenix,8829b6d897fffff,0.0
phoenix,8829b6d895fffff,0.0
phoenix,8829b6d8bdfffff,0.0
phoenix,8829b6c337fffff,0.0
phoenix,8829b6d8b9fffff,0.0
phoenix,8829b6da85fffff,0.0
phoenix,8829b6daa9fffff,0.0
phoenix,8848ebb4b5fffff,0.0
phoenix,8848ebb4b7fffff,0.0
phoenix,8848eba64bfffff,0.0
phoenix,8848ebb4b3fffff,0.0
phoenix,8848e9696dfffff,0.0
phoenix,8829b6d88bfffff,0.0
phoenix,8829b6d889fffff,0.0
